[2026-03-23T07:28:04.294+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=15339, status='terminated', started='07:26:56') (15339) terminated with exit code None
[2026-03-23T07:28:04.307+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=14129, status='terminated', started='07:26:41') (14129) terminated with exit code None
[2026-03-23T07:28:04.346+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=13040, status='terminated', started='07:26:37') (13040) terminated with exit code None
[2026-03-23T07:28:04.355+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=12994, status='terminated', started='07:26:37') (12994) terminated with exit code None
[2026-03-23T07:28:04.374+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=12973, status='terminated', started='07:26:37') (12973) terminated with exit code None
[2026-03-23T07:28:04.395+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=14181, status='terminated', started='07:26:42') (14181) terminated with exit code None
[2026-03-23T07:28:04.403+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=13589, status='terminated', started='07:26:39') (13589) terminated with exit code None
[2026-03-23T07:28:04.410+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=12975, status='terminated', started='07:26:37') (12975) terminated with exit code None
[2026-03-23T07:28:04.414+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=15937, status='terminated', started='07:27:06') (15937) terminated with exit code None
[2026-03-23T07:28:04.417+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=14116, status='terminated', started='07:26:41') (14116) terminated with exit code None
[2026-03-23T07:28:04.954+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=12286, status='terminated', started='07:26:33') (12286) terminated with exit code None
[2026-03-23T07:29:02.493+0000] {process_utils.py:150} WARNING - process psutil.Process(pid=12276, name='airflow task ru', status='sleeping', started='07:26:31') did not respond to SIGTERM. Trying SIGKILL
[2026-03-23T07:29:02.550+0000] {process_utils.py:87} INFO - Sending the signal 9 to group 12276
[2026-03-23T07:29:02.648+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=12276, name='airflow task ru', status='terminated', exitcode=<Negsignal.SIGKILL: -9>, started='07:26:31') (12276) terminated with exit code -9
[2026-03-23T07:29:02.652+0000] {standard_task_runner.py:178} ERROR - Job 25 was killed before it finished (likely due to running out of memory)
