[2026-03-23T07:28:04.419+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=16228, status='terminated', started='07:27:22') (16228) terminated with exit code None
[2026-03-23T07:28:04.423+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=13206, status='terminated', started='07:26:38') (13206) terminated with exit code None
[2026-03-23T07:28:04.453+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=13134, status='terminated', started='07:26:37') (13134) terminated with exit code None
[2026-03-23T07:28:04.473+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=15619, status='terminated', started='07:26:58') (15619) terminated with exit code None
[2026-03-23T07:28:04.537+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=14794, status='terminated', started='07:26:51') (14794) terminated with exit code None
[2026-03-23T07:28:04.547+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=14282, status='terminated', started='07:26:44') (14282) terminated with exit code None
[2026-03-23T07:28:04.714+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=14742, status='terminated', started='07:26:50') (14742) terminated with exit code None
[2026-03-23T07:28:04.771+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=13827, status='terminated', started='07:26:40') (13827) terminated with exit code None
[2026-03-23T07:28:04.790+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=15319, status='terminated', started='07:26:56') (15319) terminated with exit code None
[2026-03-23T07:28:04.943+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=13683, status='terminated', started='07:26:40') (13683) terminated with exit code None
[2026-03-23T07:28:05.484+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=12320, status='terminated', started='07:26:33') (12320) terminated with exit code None
[2026-03-23T07:29:02.317+0000] {process_utils.py:150} WARNING - process psutil.Process(pid=12274, name='airflow task ru', status='sleeping', started='07:26:31') did not respond to SIGTERM. Trying SIGKILL
[2026-03-23T07:29:02.385+0000] {process_utils.py:87} INFO - Sending the signal 9 to group 12274
[2026-03-23T07:29:02.483+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=12274, name='airflow task ru', status='terminated', exitcode=<Negsignal.SIGKILL: -9>, started='07:26:31') (12274) terminated with exit code -9
[2026-03-23T07:29:02.488+0000] {standard_task_runner.py:178} ERROR - Job 24 was killed before it finished (likely due to running out of memory)
