[2026-03-23T07:28:04.267+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=15890, status='terminated', started='07:27:02') (15890) terminated with exit code None
[2026-03-23T07:28:04.277+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=15331, status='terminated', started='07:26:56') (15331) terminated with exit code None
[2026-03-23T07:28:04.293+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=12572, status='terminated', started='07:26:35') (12572) terminated with exit code None
[2026-03-23T07:28:04.298+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=13109, status='terminated', started='07:26:37') (13109) terminated with exit code None
[2026-03-23T07:28:04.314+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=13038, status='terminated', started='07:26:37') (13038) terminated with exit code None
[2026-03-23T07:28:04.335+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=13772, status='terminated', started='07:26:40') (13772) terminated with exit code None
[2026-03-23T07:28:04.361+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=12734, status='terminated', started='07:26:35') (12734) terminated with exit code None
[2026-03-23T07:28:04.380+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=14283, status='terminated', started='07:26:44') (14283) terminated with exit code None
[2026-03-23T07:28:04.398+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=13260, status='terminated', started='07:26:38') (13260) terminated with exit code None
[2026-03-23T07:28:04.463+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=13920, status='terminated', started='07:26:40') (13920) terminated with exit code None
[2026-03-23T07:28:04.978+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=12331, status='terminated', started='07:26:33') (12331) terminated with exit code None
[2026-03-23T07:28:55.828+0000] {process_utils.py:150} WARNING - process psutil.Process(pid=12278, name='airflow task ru', status='sleeping', started='07:26:31') did not respond to SIGTERM. Trying SIGKILL
[2026-03-23T07:28:55.881+0000] {process_utils.py:87} INFO - Sending the signal 9 to group 12278
[2026-03-23T07:28:55.978+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=12278, name='airflow task ru', status='terminated', exitcode=<Negsignal.SIGKILL: -9>, started='07:26:31') (12278) terminated with exit code -9
[2026-03-23T07:28:55.981+0000] {standard_task_runner.py:178} ERROR - Job 26 was killed before it finished (likely due to running out of memory)
