[2026-03-23T07:28:04.421+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=14290, status='terminated', started='07:26:44') (14290) terminated with exit code None
[2026-03-23T07:28:04.430+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=15320, status='terminated', started='07:26:56') (15320) terminated with exit code None
[2026-03-23T07:28:04.444+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=15911, status='terminated', started='07:27:04') (15911) terminated with exit code None
[2026-03-23T07:28:04.464+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=15681, status='terminated', started='07:26:58') (15681) terminated with exit code None
[2026-03-23T07:28:04.477+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=15124, status='terminated', started='07:26:53') (15124) terminated with exit code None
[2026-03-23T07:28:04.481+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=14971, status='terminated', started='07:26:52') (14971) terminated with exit code None
[2026-03-23T07:28:04.487+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=13828, status='terminated', started='07:26:40') (13828) terminated with exit code None
[2026-03-23T07:28:04.535+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=14737, status='terminated', started='07:26:50') (14737) terminated with exit code None
[2026-03-23T07:28:04.575+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=15887, status='terminated', started='07:27:02') (15887) terminated with exit code None
[2026-03-23T07:28:04.599+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=12382, status='terminated', started='07:26:34') (12382) terminated with exit code None
[2026-03-23T07:28:05.565+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=12306, status='terminated', started='07:26:33') (12306) terminated with exit code None
[2026-03-23T07:29:00.845+0000] {process_utils.py:150} WARNING - process psutil.Process(pid=12272, name='airflow task ru', status='sleeping', started='07:26:31') did not respond to SIGTERM. Trying SIGKILL
[2026-03-23T07:29:00.903+0000] {process_utils.py:87} INFO - Sending the signal 9 to group 12272
[2026-03-23T07:29:01.001+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=12272, name='airflow task ru', status='terminated', exitcode=<Negsignal.SIGKILL: -9>, started='07:26:31') (12272) terminated with exit code -9
[2026-03-23T07:29:01.012+0000] {standard_task_runner.py:178} ERROR - Job 20 was killed before it finished (likely due to running out of memory)
