[2026-03-23T07:28:04.585+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=14241, status='terminated', started='07:26:44') (14241) terminated with exit code None
[2026-03-23T07:28:04.623+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=15465, status='terminated', started='07:26:57') (15465) terminated with exit code None
[2026-03-23T07:28:04.837+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=13029, status='terminated', started='07:26:37') (13029) terminated with exit code None
[2026-03-23T07:28:04.840+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=12450, status='terminated', started='07:26:35') (12450) terminated with exit code None
[2026-03-23T07:28:04.844+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=16312, status='terminated', started='07:27:39') (16312) terminated with exit code None
[2026-03-23T07:28:04.847+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=14237, status='terminated', started='07:26:43') (14237) terminated with exit code None
[2026-03-23T07:28:04.851+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=14216, status='terminated', started='07:26:43') (14216) terminated with exit code None
[2026-03-23T07:28:04.947+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=12300, status='terminated', started='07:26:33') (12300) terminated with exit code None
[2026-03-23T07:29:00.800+0000] {process_utils.py:150} WARNING - process psutil.Process(pid=12277, name='airflow task ru', status='sleeping', started='07:26:31') did not respond to SIGTERM. Trying SIGKILL
[2026-03-23T07:29:00.855+0000] {process_utils.py:87} INFO - Sending the signal 9 to group 12277
[2026-03-23T07:29:00.954+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=12277, name='airflow task ru', status='terminated', exitcode=<Negsignal.SIGKILL: -9>, started='07:26:31') (12277) terminated with exit code -9
[2026-03-23T07:29:00.963+0000] {standard_task_runner.py:178} ERROR - Job 23 was killed before it finished (likely due to running out of memory)
