[2026-03-23T07:28:04.054+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=13778, status='terminated', started='07:26:40') (13778) terminated with exit code None
[2026-03-23T07:28:04.062+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=14789, status='terminated', started='07:26:51') (14789) terminated with exit code None
[2026-03-23T07:28:04.068+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=13204, status='terminated', started='07:26:38') (13204) terminated with exit code None
[2026-03-23T07:28:04.079+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=13689, status='terminated', started='07:26:40') (13689) terminated with exit code None
[2026-03-23T07:28:04.128+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=12521, status='terminated', started='07:26:35') (12521) terminated with exit code None
[2026-03-23T07:28:04.317+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=14435, status='terminated', started='07:26:45') (14435) terminated with exit code None
[2026-03-23T07:28:04.355+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=14242, status='terminated', started='07:26:44') (14242) terminated with exit code None
[2026-03-23T07:28:04.397+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=14546, status='terminated', started='07:26:45') (14546) terminated with exit code None
[2026-03-23T07:28:04.428+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=15819, status='terminated', started='07:27:01') (15819) terminated with exit code None
[2026-03-23T07:28:04.814+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=12340, status='terminated', started='07:26:33') (12340) terminated with exit code None
[2026-03-23T07:29:01.614+0000] {process_utils.py:150} WARNING - process psutil.Process(pid=12280, name='airflow task ru', status='sleeping', started='07:26:31') did not respond to SIGTERM. Trying SIGKILL
[2026-03-23T07:29:01.678+0000] {process_utils.py:87} INFO - Sending the signal 9 to group 12280
[2026-03-23T07:29:01.777+0000] {process_utils.py:80} INFO - Process psutil.Process(pid=12280, name='airflow task ru', status='terminated', exitcode=<Negsignal.SIGKILL: -9>, started='07:26:31') (12280) terminated with exit code -9
[2026-03-23T07:29:01.781+0000] {standard_task_runner.py:178} ERROR - Job 28 was killed before it finished (likely due to running out of memory)
